content,rating
fuck u guys,0
i got so confused,0
and I'm giving him a SOUL 👹,0
Medium snake is a sick name,0
Bro got that shit on lock down already,0
If I say zach is a poopy baby is it going to moderate me for hate speech,0
discretize deez nuts bro,0
bro im gonna be 90% of your flags with deez nuts jokes alone,0
shut up,0
fuck u guys,0
I don't like how the prime minister is running this country,0
I hate zach hutz because he's so fucking CUTE,0
now we gotta do the same with swear words 💀,0
i cant even SWEAR in this fuckin server now?,0
FUCK,0
just not insulting people ofc lol,0
should have kept #politics and tested the bot out,0
swag. go do that.,0
The government doesn't do things well!!!!,0
but thats good too cus no pain no gain,0
chip bot should flag any mention of overused shitpost trends,0
wait what is that pfp dawg,0
A crack head that robbed me,0
Damn,0
<@387012721645846528> ban this guy,0
it's the censorship,0
i just know from the cast its gonna be shit,0
looks so ass already no shot its peak,0
Yall think they have better chances than us,0
"I paid $170 for a capacitor replacement on my laptop when i picked it up yesterday, crazy how it costs that much",0
https://tenor.com/view/monkey-computer-angry-pissed-typing-gif-19954912,0
That's just pure insanity,0
"your portfolio isnt diversified enough bro, you're never getting a job",0
Yea doing stuff that isn't interesting will just burn you out lol,0
fuck those web devs am i right,0
but sure yeah spamming those is gonna get boring,0
is that crazy for a job like that,0
use a brainfuck-webassembly compiler for all of your web dev needs too,0
Don't look at it like that,0
you're the one twisting what i said LOL,0
i could not spend 4h a day coding smth just for my resume,0
I hate web devs they should all,0
bro got flagged by calder's bot,0
damn really,0
yea it's not something you craft,0
better dead than red,0
There’s like a decade of lore on that dude Apparnely,0
I don’t like Justin Trudeau,0
I HATE A CERTAIN IDEOLOGY,0
Capitalism sucks,0
u guys don't have to test the bot lol,0
I AM ANGRY WITH THE LIBERALS,0
You just attacked my manlihood,0
damn chip cant answer me,0
"Directed insults, political content, nsfw content",0
Yeah tbh,0
"damn, what's got you out of the game? I'll send you a wafer lock if you need one lmao",0
nahhh bro I have the worst damn fever rn I’m dying,0
why are people sick bro summer is barely over,0
After a summer of doing fuckall,0
Getting sick on the first week of school sucks man hope people get better,0
I did nothing,0
thats unethical,0
"Rules says no trolling, that’s depressing",0
Modded servers with trolling friends was peak,0
That’s crazy,0
I inflated too many emails,0
NAHH wtf I gotta check if my shit is still there then,0
Defend our bed,0
those are the coordinates? damn,0
damn,0
W friend she dumb like that tho <:pensive_cowboy:621052029628055565>,0
Me cuz I get bragging rights,0
Bro those reels actually scared the shit outta me for a while 💀💀,0
i'm jealous. flex successful.,0
giggies is #3 in my book,0
it was like $15 for an 8 inch sub,0
giglio has halal meat??,0
oh facts yeah italian meats are almost all pork,0
Oh yeah fs,0
ikr I love hitting a workout then just destroying a full size sub. makes me feel like I'm gonna explode but in a good way.,0
I feel like a pompous prick now but I legit can’t deal with uncleanliness,0
walter white shit,0
Rip the top stuff off,0
i dont think its as easy as ripping it off and i dont wanna look like a toddler cutting off the crust off a toast,0
I don't like giglios,0
Damn,0
You’re actually a crackhead how are we friends,0
That's the worst,0
Bro we had like 2 days of school wtf happened 😭,0
im lowkey a weak human,0
you can't magically make my immune system stronger,0
finally some good shit,0
goal is to steal adobe source code and make it open source,0
fuck u,0
anna's ar*chive,0
yeah i did but quality is poopoo,0
im a pretty crap pirate,0
Bro is letting y'all use NASM? That's a massive W if he ends up following suit,0
Stop pinging mod for TA everyone,0
i might be a bot,0
thats some bs lol,0
ain't no way,0
im the css clown bro i know that better than anybody,0
Intel should stop making lakes since they keep drowning in them.,0
yikes,0
Ahhhh damn,0
oh shit,0
exams were stupid af and i couldn’t bs at all,0
Kobster was scheming,0
Wya bro I got time to kill,0
If you are I will hunt you down.,0
what is she yapping about,0
only Fani can do that shit 😤,0
after 3340 i cant listen to that guy,0
dude she is ALL OVER the place,0
i only let hog riders impenetrate this,0
Ngom  and TA didn't allow NASM tho only MASM,0
whip and nae nae,0
Sup dude,0
my partner might not exist,0
dont come bro you'll be bored out of your mind,0
she's gonna yell at me,0
damn now i am not gonna join that class,0
she's nothing like solar systems,0
LMFAOOOOOOOOOOOOOOOOOOOOOOOOOOO,0
lose it,0
cant find this shit on brightspace,0
Shit my guy is not in the server,0
I hate when we can't choose our own group,0
because he was being a bitch,0
Do you remember he posted Loli memes and like called all English teachers pedos,0
he was clowning on other majors,0
don't forget the fiend,0
didnt kevin send worse messages,0
Kevin was less abrasive with it. He says stuff and it's almost like he doesn't even realize it's bad until we tell him. Badia was so aggressive with it bro was begging to be banned.,0
he threatened to fight a student and was pretty damn rude to an assistant prof that had like 2 days to prep for a class,0
"said shit like ""were in canada. speak english or french""",0
id fucking *hope* someone just started only speaking french cause he asked for it,0
poor xy,0
he also cussed out dr yuan,0
he was racist against profs with accents,0
Basically he lost his shit bc a prof had an accent he found difficult to understand,0
Had a full meltdown and stormed out of class,0
was insane,0
What a pog class,0
it was a shitshow lecture tbh but that was wild,0
Yeah the lecture was ass but his reaction was too much,0
It's vile 💀,0
this guy has kids btw,0
"James Earl Jones just passed away, fuck the earth rn",0
He cussed out Dr Yuan ☠️,0
Gus Fring is not sus,0
"I'm back. I don't know what they mean by ""loli memes"", they are just dumb memes to be fair and for the English major discussy, whatever man I had some lingering beef with my previous English teacher and the server just bursted the bubble",0
you called all english majors pedos 😭,0
omg my pookies,0
Damn and I was out here exposing my arms to get more sunlight 💀 I guess it'll be the opposite in the winter,0
I'll expose myself to you,0
bruh not u ignoring me on multiple occasions until I legit waved in ur face at the gala,0
YIPPPEEE,0
u say it like it's intentional <:cereal_spit:1276054003813187616>,0
get those brownie points,0
dude fr that guy has some superhuman ass hearing,0
bleeding gums rub on wall,0
This guy needs to be stopped,0
shoulda just used a pic of that dude's beard,0
i want nothing less,0
the assignments will be cringe,0
ps deez nuts bro,0
ps your own nuts,0
Roblox got better zombies than cod 😭,0
Oh there's some insane games in roblox,0
Meaning like games that were not 60 FPS or whatever aren't gonna be any better,0
nah i swear he said 6,0
oopsies typo i meant i swear he said 5 lol,0
speak of the devil bro,0
damn he actually came back,0
yo thats sick ur rlly good at ascii art,0
fuck u,0
this just fucked up all of my channels,0
just keep distant and tell theory to make you scary,0
Yeeee it’s actually so crazy now,0
You would be a fool to not go to class,0
oh ofc i would never,0
